shopid,seller_type,rating_star,display_response_rate,sku,camp_flag,main_category,p30_gmv,p30_order_cnt,follower_count,Decorated
65408,NS,4.9,89,745,N,Muslim Fashion,3202.7,51,264,0
439807,NS,4.17,65,9,N,Groceries & Pets,329.04,6,101,0
535151,NS,4.87,90,105,N,Mobile & Accessories,2100,10,1255,0
1819221,NS,4.93,85,91,N,Health & Beauty,552.87,14,740,0
2064047,NS,4.86,85,456,N,Automotive,23697.91,459,2393,0
3015511,NS,4.94,85,16,N,Health & Beauty,461.19,5,206,0
3093722,NS,4.92,94,39,N,Health & Beauty,5868.93,159,3526,0
3277496,PS,4.98,78,425,N,Home & Living,3409.72,83,3271,0
4751629,NS,4.86,65,893,N,Health & Beauty,1148.44,12,181,0
5053518,NS,4.89,89,173,N,Home & Living,527.44,6,732,0
5935519,NS,4.47,65,164,N,Women's Bags,1345.98,35,533,0
6485789,NS,4.83,95,16,N,Muslim Fashion,480.42,11,115,0
7527634,NS,4.93,94,53,N,Groceries & Pets,7577.3,153,1144,0
8526204,PS,4.94,87,12,N,Health & Beauty,11712.09,103,647,0
8764143,NS,4.79,87,122,N,Baby & Toys,1273.8,7,939,0
9001041,NS,4.97,91,12,N,Health & Beauty,1868.5,17,469,0
9248664,NS,4.82,89,449,N,Home & Living,562.4,15,124,0
9872161,NS,4.89,92,488,N,Computer & Accessories,1027.58,249,1293,0
9994587,NS,4.9,89,77,N,Health & Beauty,1712.79,38,186,0
10410874,NS,4.87,87,20,N,Women's Bags,1160.78,15,340,0
11582810,PS,4.95,95,77,N,Health & Beauty,7820.61,152,775,0
11597758,NS,4.69,91,101,N,Women Shoes,5687.25,146,4956,0
12744871,NS,4.93,87,57,N,Muslim Fashion,7461.62,147,577,0
13832940,NS,4.82,91,378,N,Muslim Fashion,14495.97,119,1834,0
14399359,PS,4.97,95,114,N,Health & Beauty,6280.73,69,1346,0
15434104,NS,4.89,84,50,N,Mobile & Accessories,300.09,5,95,0
15634680,NS,5,86,40,N,Muslim Fashion,669.93,5,110,0
15746776,NS,5,95,21,N,Home & Living,558.16,8,71,0
16227018,NS,4.77,81,450,N,Home & Living,110541.33,3181,37910,0
16257510,NS,4.96,89,63,N,Health & Beauty,594,5,140,0
16554303,NS,4.58,95,73,N,Muslim Fashion,843,7,901,0
16675331,NS,4.92,86,26,N,Baby & Toys,313.24,11,393,0
